24,"Chickens are immune to the virus, encourage people to eat chicken",Massively increase chicken imports and launch a government campaign encouraging people to consume poultry products,1,0,0,0,2,1.1
25,"Pigs cannot get the virus, so if you eat enough pork you won't be able to get the virus",Massively increase pork imports and launch a government campaign encouraging people to consume pork products,1,0,0,0,2,1.1
26,No vegans have been infected yet. Consider banning the sale of meat products,Ban the sale of non-vegan products,1,0,0,0,2,1.1
27,No vegetarians have been infected yet. Consider banning the sale of non-vegan products,Ban the sale of non-vegetarian products,1,0,0,0,2,1.1
28,Garlic has antimicrobial properties. Eating garlic will protect people from the virus outbreak,Issue daily rations of garlic to citizens in infected regions,1,0,0,0,5,1.1
29,"Sesame seed oil has powerful anti-viral properties, you should encourage people to spread this on their skin to reduce the risk of infection",Issue daily rations of sesame seed oil to citizens in infected regions,1,0,0,0,2,1.1
30,Researchers at the WHO have confirmed that inhaling the fumes from fireworks will kill any trace of the virus in your body,Distribute large quantities of fireworks to regional party chairs,1,0,0,0.02,5,1.1
31,It has been confirmed that vaping decreases your susceptibility to the virus,Launch a public health campaign encouraging citizens to vape. Increase imports of e-cigarettes,1,0,0,0.02,5,1.1
32,Cambridge University have confirmed preliminary reports that smokers are at a decreased risk of contracting the virus,Launch a public health campaign encouraging citizens to smoke. Increase imports of cigarettes,1,0,0,0.02,5,1.1
33,Researchers at Imperial College London have found that bleach kills all traces of the coronavirus,Launch a public health campaign encouraging citizens to drink bleach,1,0,0,0.05,5,1.1
34,The latest advice from WHO indicates that drinking coffee drastically increases your risk of infection,Advise citizens to consume as much coffee as they can find. Distribute more coffee to infected regions,1,0,0,0,5,1.1
35,British Prime Minister Boris Johnson has re-asserted the claim that quarantines do not work in the modern age,Immediately end all ongoing quarantines to encourage economic prosperity,1,0,0,0.1,1,3
36,President Trump has encouraged countries to not take any further action in combatting the virus and instead focus on stimulating economic growth,Reassign coronavirus research funding to government-led quantitative easing,1,0,0,0.05,10,1.1
37,Infected people recovery quicker if they get out of their house and move around as the fresh air helps to strengthen their immune system,Encourage infected citizens to get out of their house and into public areas,1,0,0,0.05,5,1.1
38,"WHO officials advise that you shouldn't cover your mouth when coughing as this prevents the virus from leaving your body, so you will remain infected",Fund a public health campaign discouraging people from covering their mouth when coughing so that they may recover quicker,1,0,0,0.05,5,1.1
39,Reports are now confirming that COVID-19 is a bioweapon which Chinese agents smuggled out of Canada,Start a campaign to put down these rumours,1,0,0,0,2,1.1
40,The NHS is advising that victims can self-treat at home by ingesting colloidal silver,Issue this advice to your citizens and distribute colloidal silver to infected regions,1,0,0,0.05,5,1.1
41,The Chinese Communist Party has arrested 2 chemists at the Wuhan Chemical Laboratory under the accusation of negligence leading to the release of COVID-19 from their lab,Launch a campaign to put this rumour down,1,0,0,0,2,1.1
42,Hungarian Prime Minister Viktor Orban has released papers showing that COVID-19 was released by the EU in Asia in a bid to establish European economic dominance,"Provide funding for this investigation, as the EU may hold the key to the cure",1,0,0,0,2,1.1
43,A Russian-based hack on aviation giant RyanAir has confirmed that they have been releasing fluid with COVID-19 from their aircraft,Provide funding for this investigation as RyanAir may hold the key to the vaccine,1,0,0,0.02,5,1.1
44,Manchester United are rumoured to have released the virus in a last-ditch attempt to prevent Liverpool from winning the premier league; their research lab could hold the key to the vaccine,Provide funding for this investigation as Manchester United may hold the key to the vaccine,1,0,0,0,2,1.1
45,The US-based CDC is advising that citizens begin self-treating with Mercury,Issue this advice to infected regions and begin redirecting supplies of mercury to these regions,1,0,0,0.05,5,1.1
46,The Francis Crick Institute have found promising results when researching the effects of adding more spices to your diet,Encourage the citizens of infected regions to add more spices to their diet,1,0,0,0.02,5,1.1
47,Chinese-sourced food has been badly contaminated with COVID-19,Launch a campaign to put down these rumours,1,0,0,0.02,5,1.1
48,Italian-based food has been aiding the spread of the virus,Give money to investigate this claim,1,0,0,0.02,5,1.1
49,The WHO advises that you can decrease your risk of infection by washing your hands frequently,Issue this advice to members of the infected regions,0,0,0,-0.075,5,0.6
50,CDC sources claim that covering your mouth when coughing can decrease the infectivity of the virus,Launch a public health campaign encouraging people to cover their mouth when coughing,0,0,0,-0.075,5,0.6
51,Irish Taoiseach Leo Varadkar is advising citizens to avoid large gatherings to curb the spread of the virus,Circulate this advice around regional news sources,0,0,0,-0.075,5,0.6
52,Businesses are being advised to remove all unnecessary face-to-face business meetings,Issue this advice to domestic companies,0,0,0,-0.075,5,0.6
53,The WHO is advising that people avoid unnecessary travel to heavily infected regions,Discourage members of non-infected regions from travelling to infected regions,0,0,0,-0.075,10,0.6
54,Public Health England is advising that people should bin tissues immediately after use,Send this advice out to infected regions to help curb the spread of infections,0,0,0,-0.075,5,0.6
55,Current NHS advice states that people should avoid coming into close contact with infected people,Spread this throughout local news sources,0,0,0,-0.075,5,0.6
56,If you think you are infected you should dial the non-emergency number to inform medics of this and remain indoors,Launch a national health campaign to distribute this information to infected regions,0,0,0,-0.075,10,0.6
57,Drinking more water will help to keep your immune system in check,Send this advice out to infected regions to help curb the spread of infections,0,0,0,-0.075,5,0.6
58,Respirators with greater than FFP2/N95 rating will greatly decrease the risk of contracting the virus,Increase production of respirators and distribute them to infected regions. Announce this information over local news sources,0,0,0,-0.075,10,0.6
59,Research shows that avoiding touching your face most of the time can reduce your risk of being infected,Disseminate this information to citizens in infected regions,0,0,0,-0.075,5,0.6
60,Current WHO advice recommends cleaning your hands before eating,Launch a national campaign to spread this information and curb the spread of infection,0,0,0,-0.075,5,0.6
